StrokeNumber;X;Y
1;184.00;250.67
1;185.33;249.33
1;186.00;243.33
1;186.00;234.67
1;187.33;224.00
1;189.33;214.67
1;191.33;202.67
1;192.67;188.00
1;194.67;176.00
1;197.33;162.67
1;200.00;150.00
1;203.33;139.33
1;208.00;128.00
1;212.00;122.00
1;214.00;118.67
1;217.33;115.33
1;218.67;114.00
1;220.67;114.00
1;222.00;114.00
1;222.67;114.00
1;224.00;114.00
1;224.67;116.00
1;228.00;120.67
1;231.33;126.67
1;233.33;133.33
1;237.33;144.67
1;243.33;156.67
1;248.67;165.33
1;252.00;174.00
1;254.67;178.67
1;257.33;184.00
1;258.00;186.67
1;258.67;188.67
1;259.33;190.00
1;259.33;192.00
1;259.33;193.33
1;261.33;194.67
1;262.67;195.33
1;263.33;196.00
2;169.33;184.00
2;170.67;182.00
2;178.67;178.67
2;190.00;174.00
2;202.00;170.00
2;218.00;164.67
2;234.67;160.00
2;250.67;156.00
2;272.00;150.67
2;286.67;146.00
2;298.67;142.67
2;309.33;140.00
2;318.00;138.00
2;326.00;136.00
2;328.00;136.00
2;330.67;135.33
