StrokeNumber;X;Y
1;193.33;82.00
1;193.33;83.33
1;193.33;84.67
1;193.33;85.33
1;193.33;86.00
1;194.00;86.00
1;194.00;88.67
1;194.00;92.00
1;194.00;96.67
1;195.33;106.67
1;195.33;116.00
1;195.33;126.67
1;195.33;137.33
1;195.33;148.67
1;195.33;155.33
1;195.33;164.67
1;195.33;170.67
1;195.33;178.67
1;196.00;182.67
1;196.00;186.00
1;196.00;190.00
1;196.67;192.00
1;197.33;193.33
1;197.33;194.67
1;197.33;195.33
1;197.33;196.67
1;197.33;197.33
1;197.33;198.00
1;197.33;199.33
1;197.33;200.00
2;144.00;85.33
2;146.67;80.67
2;147.33;80.00
2;149.33;78.00
2;152.00;76.67
2;158.00;73.33
2;162.67;72.00
2;170.67;72.00
2;180.00;69.33
2;188.67;69.33
2;198.00;69.33
2;206.00;69.33
2;214.00;69.33
2;223.33;71.33
2;230.00;73.33
2;233.33;74.67
2;236.00;76.00
2;237.33;77.33
2;237.33;78.67
2;237.33;82.00
2;237.33;86.00
2;237.33;91.33
2;233.33;96.00
2;226.00;100.67
2;217.33;102.67
2;210.00;106.67
2;202.00;110.00
2;192.00;112.00
2;185.33;116.00
2;180.67;116.67
2;178.67;117.33
2;178.00;117.33
2;180.00;117.33
2;186.00;117.33
2;195.33;117.33
2;206.00;117.33
2;219.33;117.33
2;234.67;121.33
2;246.67;125.33
2;259.33;128.67
2;267.33;133.33
2;274.67;137.33
2;279.33;141.33
2;282.00;144.67
2;282.67;146.67
2;282.67;148.67
2;282.67;152.00
2;282.67;156.00
2;282.00;160.67
2;275.33;166.67
2;269.33;172.00
2;263.33;174.67
2;252.67;180.00
2;244.00;183.33
2;233.33;185.33
2;222.00;188.67
2;212.67;191.33
2;208.67;191.33
2;200.67;193.33
2;198.00;193.33
2;194.00;193.33
2;192.00;193.33
2;190.67;193.33
2;188.67;193.33
2;188.00;193.33
2;185.33;192.67
2;184.67;192.00
2;184.00;191.33
