StrokeNumber;X;Y
1;268.67;118.00
1;268.00;117.33
1;265.33;116.00
1;261.33;114.67
1;255.33;114.00
1;247.33;112.67
1;240.67;112.67
1;232.67;112.67
1;226.00;112.67
1;219.33;112.67
1;209.33;114.67
1;202.67;118.67
1;196.00;123.33
1;188.67;131.33
1;180.00;141.33
1;176.67;149.33
1;173.33;158.00
1;170.00;167.33
1;169.33;174.67
1;168.00;182.67
1;167.33;188.00
1;167.33;194.00
1;171.33;200.00
1;174.67;204.67
1;179.33;208.67
1;186.67;214.00
1;192.67;218.00
1;198.67;219.33
1;200.67;222.00
1;208.67;222.67
1;216.00;224.00
1;225.33;224.00
1;236.00;224.00
1;246.00;224.00
1;255.33;224.00
1;266.67;221.33
1;272.00;220.67
1;275.33;218.00
1;279.33;215.33
1;280.67;214.00
1;280.67;212.67
1;280.67;210.00
