StrokeNumber;X;Y
1;187.33;116.67
1;187.33;120.00
1;189.33;130.00
1;192.67;143.33
1;197.33;160.67
1;202.00;182.00
1;207.33;201.33
1;211.33;220.00
1;212.67;234.67
1;214.67;246.67
1;216.67;257.33
1;218.00;265.33
1;218.00;274.67
1;218.67;279.33
1;219.33;283.33
1;219.33;284.00
1;219.33;284.67
1;219.33;286.67
1;220.00;287.33
1;218.00;287.33
1;216.67;284.67
1;212.00;280.67
2;121.33;116.67
2;121.33;115.33
2;121.33;113.33
2;121.33;110.67
2;122.00;105.33
2;125.33;102.00
2;128.67;99.33
2;136.00;96.00
2;144.00;94.00
2;153.33;94.00
2;164.00;94.00
2;174.67;94.00
2;185.33;94.00
2;196.00;95.33
2;207.33;98.67
2;215.33;100.67
2;224.00;106.00
2;228.67;110.00
2;235.33;116.00
2;238.67;118.67
2;241.33;122.00
2;244.67;126.00
2;248.67;130.67
2;252.67;138.00
2;257.33;146.67
2;260.00;156.00
2;262.67;167.33
2;264.67;176.67
2;264.67;188.67
2;264.67;199.33
2;264.67;210.00
2;260.00;220.67
2;249.33;232.67
2;238.67;242.67
2;228.00;250.67
2;210.00;257.33
2;192.67;264.00
2;172.67;270.67
2;157.33;273.33
2;145.33;275.33
2;138.67;276.00
2;132.00;276.00
2;130.67;276.00
2;130.00;276.00
2;130.00;274.00
2;130.00;272.67
2;130.00;272.00
2;130.00;270.67
2;130.00;270.00
