StrokeNumber;X;Y
1;189.33;101.33
1;189.33;108.00
1;194.00;117.33
1;198.00;134.67
1;200.00;152.67
1;201.33;170.00
1;204.00;188.00
1;204.00;202.67
1;205.33;216.67
1;205.33;230.00
1;205.33;243.33
1;205.33;254.00
1;205.33;263.33
1;205.33;270.00
1;205.33;275.33
1;206.00;280.00
1;206.00;281.33
1;206.67;282.67
1;206.67;283.33
2;178.00;148.00
2;178.00;145.33
2;182.67;143.33
2;190.67;140.67
2;199.33;138.00
2;210.00;134.67
2;220.00;132.00
2;228.00;128.67
2;236.67;125.33
2;246.00;122.00
2;253.33;118.00
2;256.67;117.33
2;258.67;115.33
2;259.33;115.33
3;166.00;190.00
3;174.00;190.00
3;180.67;190.00
3;190.00;188.67
3;199.33;187.33
3;209.33;185.33
3;218.67;183.33
3;226.67;181.33
3;235.33;178.00
3;243.33;176.00
3;248.00;176.00
3;252.00;175.33
3;256.67;173.33
3;258.67;172.67
3;259.33;172.67
3;260.00;172.67
4;197.33;265.33
4;197.33;266.00
4;198.00;266.00
4;200.00;266.00
4;202.67;266.00
4;208.00;265.33
4;215.33;263.33
4;223.33;262.67
4;232.67;261.33
4;244.67;260.67
4;256.67;258.00
4;268.00;257.33
4;278.67;254.67
4;285.33;252.67
4;292.00;252.67
4;298.00;252.00
4;300.00;252.00
4;300.67;251.33
