StrokeNumber;X;Y
1;298.67;144.67
1;297.33;143.33
1;294.67;140.67
1;293.33;139.33
1;292.00;138.67
1;290.00;136.67
1;286.67;135.33
1;286.00;134.00
1;284.00;133.33
1;282.00;133.33
1;278.67;132.67
1;274.67;132.67
1;270.67;132.67
1;264.67;132.00
1;258.00;132.00
1;251.33;132.00
1;243.33;132.00
1;236.67;132.00
1;227.33;132.00
1;220.00;134.00
1;212.00;136.00
1;204.67;139.33
1;198.00;141.33
1;189.33;144.67
1;186.00;146.00
1;181.33;150.00
1;179.33;153.33
1;175.33;159.33
1;174.67;164.67
1;172.67;168.00
1;172.00;177.33
1;172.00;184.67
1;170.67;192.67
1;170.67;202.00
1;173.33;210.00
1;175.33;220.00
1;180.00;228.00
1;184.67;234.67
1;190.00;240.67
1;197.33;248.00
1;204.67;253.33
1;213.33;258.67
1;220.67;264.00
1;230.00;266.00
1;240.00;268.00
1;249.33;268.00
1;258.67;268.00
1;266.67;268.00
1;274.67;268.00
1;284.00;268.00
1;294.00;263.33
1;300.00;259.33
1;307.33;255.33
1;309.33;252.67
1;310.00;248.67
1;312.00;246.00
1;312.00;243.33
1;310.00;241.33
1;307.33;236.67
1;304.00;234.00
1;300.00;228.67
1;297.33;226.67
1;294.00;224.67
1;289.33;222.00
1;287.33;221.33
1;285.33;220.00
1;284.00;220.00
1;282.67;220.00
2;232.67;206.67
2;236.67;205.33
2;240.67;204.67
2;247.33;204.67
2;256.67;204.67
2;266.00;204.67
2;276.67;204.67
2;287.33;204.67
2;296.00;207.33
2;302.67;209.33
2;306.00;210.00
2;308.00;212.00
2;308.67;212.67
2;310.00;216.00
2;311.33;218.00
2;312.00;221.33
2;314.00;226.00
2;314.67;227.33
2;316.67;230.67
2;318.00;234.67
2;320.00;237.33
2;320.67;240.00
2;320.67;241.33
2;322.00;244.00
2;322.00;244.67
2;322.00;246.00
2;322.67;248.67
2;322.67;250.67
2;322.67;252.67
2;322.67;254.67
2;322.67;258.00
2;322.67;260.00
2;322.67;261.33
2;322.67;264.00
2;323.33;265.33
2;323.33;266.00
2;323.33;266.67
2;323.33;267.33
2;324.00;268.00
2;324.67;268.67
