StrokeNumber;X;Y
1;218.00;124.67
1;218.00;126.00
1;218.00;128.00
1;219.33;132.67
1;225.33;140.00
1;230.67;149.33
1;236.67;160.67
1;240.67;172.00
1;246.67;184.00
1;250.67;195.33
1;255.33;207.33
1;257.33;220.67
1;260.67;233.33
1;262.00;245.33
1;263.33;257.33
1;263.33;266.67
1;263.33;274.67
1;263.33;276.67
1;263.33;279.33
1;263.33;280.00
1;263.33;281.33
1;263.33;278.00
1;264.00;273.33
1;266.00;266.67
2;306.67;148.00
2;307.33;148.00
2;308.67;148.00
2;309.33;151.33
2;310.00;154.67
2;312.00;160.00
2;315.33;166.00
2;316.00;175.33
2;319.33;186.67
2;324.00;198.67
2;327.33;214.00
2;332.00;228.67
2;337.33;244.67
2;338.67;258.00
2;338.67;267.33
2;338.67;274.67
2;339.33;277.33
2;339.33;280.67
2;339.33;282.00
2;339.33;282.67
3;261.33;243.33
3;260.67;242.00
3;260.67;241.33
3;260.67;240.67
3;263.33;240.00
3;270.00;238.00
3;278.00;238.00
3;287.33;238.00
3;300.00;235.33
3;309.33;235.33
3;320.00;234.67
3;328.00;232.67
3;332.67;231.33
3;334.67;231.33
3;336.67;230.67
