StrokeNumber;X;Y
1;279.33;102.67
1;278.67;103.33
1;278.00;105.33
1;277.33;106.67
1;276.67;111.33
1;276.67;116.67
1;276.67;122.00
1;276.67;130.00
1;276.67;142.00
1;280.67;157.33
1;286.00;174.00
1;289.33;186.67
1;294.67;198.67
1;298.00;210.00
1;301.33;220.67
1;302.00;227.33
1;302.00;234.00
1;302.00;240.00
1;302.00;244.00
1;301.33;248.67
1;298.00;253.33
1;294.67;258.00
1;289.33;264.00
1;286.00;266.67
1;280.67;271.33
1;276.67;273.33
1;272.00;274.00
1;268.00;274.00
1;264.67;276.00
1;260.00;275.33
1;258.67;274.67
1;252.67;272.00
1;248.67;268.67
1;246.00;265.33
1;241.33;260.00
1;236.67;256.00
1;232.00;251.33
1;228.00;248.00
1;224.67;244.00
1;222.00;242.00
1;220.00;239.33
1;217.33;234.67
1;215.33;231.33
1;214.67;227.33
1;214.00;224.00
1;211.33;220.67
1;211.33;219.33
1;209.33;216.00
1;209.33;214.67
1;208.67;214.67
