StrokeNumber;X;Y
1;224.67;126.00
1;225.33;126.67
1;225.33;130.67
1;225.33;136.00
1;226.00;145.33
1;228.67;157.33
1;230.67;174.67
1;232.00;188.00
1;235.33;198.67
1;236.67;213.33
1;240.00;226.67
1;240.67;236.00
1;240.67;248.00
1;242.00;256.67
1;242.00;262.00
1;242.00;266.00
1;242.00;268.67
1;242.00;270.00
1;242.00;270.67
1;240.67;270.00
1;240.67;269.33
2;294.00;144.67
2;294.00;144.00
2;292.67;144.00
2;289.33;144.00
2;286.67;144.00
2;281.33;146.00
2;272.67;150.00
2;265.33;153.33
2;257.33;158.67
2;246.00;166.67
2;236.00;172.00
2;224.67;177.33
2;216.00;184.00
2;207.33;190.67
2;198.67;196.00
2;193.33;198.00
2;189.33;201.33
2;187.33;204.00
2;186.67;204.67
2;186.67;205.33
2;186.67;206.00
2;189.33;206.00
2;194.67;206.00
2;200.00;206.00
2;208.00;206.00
2;214.67;206.00
2;224.00;206.00
2;232.00;206.00
2;240.67;209.33
2;248.67;212.67
2;254.67;214.67
2;260.67;218.67
2;264.00;222.00
2;266.67;225.33
2;269.33;229.33
2;272.00;231.33
2;274.67;234.67
2;278.00;238.67
2;278.67;239.33
2;280.00;240.00
2;280.67;240.00
2;281.33;240.67
