StrokeNumber;X;Y
1;234.00;120.00
1;234.00;121.33
1;234.00;124.00
1;234.00;127.33
1;234.00;132.00
1;234.00;137.33
1;234.00;145.33
1;234.00;157.33
1;234.00;166.67
1;234.00;177.33
1;232.67;189.33
1;232.67;200.00
1;232.67;213.33
1;232.67;224.00
1;232.67;233.33
1;231.33;241.33
1;230.67;247.33
1;228.67;251.33
1;228.67;252.67
1;228.00;256.00
1;228.00;256.67
1;228.00;258.00
1;228.67;258.67
1;232.67;258.67
1;238.00;258.67
1;246.00;258.67
1;257.33;256.67
1;270.67;254.67
1;280.00;252.67
1;290.67;251.33
1;301.33;251.33
1;312.00;251.33
1;317.33;251.33
1;324.00;251.33
1;325.33;251.33
1;326.00;251.33
