StrokeNumber;X;Y
1;214.00;140.67
1;214.00;142.67
1;214.00;146.67
1;214.00;151.33
1;212.00;156.67
1;211.33;162.67
1;211.33;170.67
1;210.00;181.33
1;210.00;190.67
1;210.00;204.00
1;210.00;214.67
1;210.00;226.00
1;210.00;236.67
1;210.00;246.00
1;210.67;253.33
1;210.67;257.33
1;212.00;262.00
1;212.00;264.67
1;212.00;266.67
1;212.00;267.33
1;212.00;268.67
1;212.00;268.00
1;212.00;266.67
1;211.33;264.00
1;210.67;260.67
2;205.33;168.67
2;207.33;168.67
2;208.67;170.00
2;212.00;173.33
2;215.33;177.33
2;219.33;182.00
2;223.33;185.33
2;230.67;190.67
2;238.00;197.33
2;246.67;203.33
2;255.33;211.33
2;262.67;217.33
2;268.67;224.00
2;275.33;228.67
2;278.67;231.33
2;282.67;232.67
2;283.33;232.67
2;285.33;232.67
2;288.00;230.67
2;289.33;225.33
2;292.67;218.00
2;295.33;212.00
2;300.00;204.67
2;302.67;197.33
2;306.00;190.67
2;308.00;184.67
2;310.67;176.00
2;312.67;170.67
2;314.67;164.67
2;316.67;161.33
2;317.33;158.67
2;318.00;157.33
2;318.67;156.67
2;319.33;156.00
2;319.33;155.33
2;320.00;156.00
2;320.00;158.67
2;320.00;162.67
2;320.00;168.00
2;320.00;175.33
2;320.00;183.33
2;322.67;196.67
2;323.33;204.67
2;323.33;214.00
2;324.67;223.33
2;325.33;232.67
2;328.00;242.67
2;330.00;253.33
2;333.33;261.33
2;336.00;271.33
2;339.33;277.33
2;340.00;280.00
2;340.67;283.33
2;340.67;284.67
2;341.33;286.00
2;342.00;286.00
2;342.00;284.67
2;341.33;283.33
