StrokeNumber;X;Y
1;205.33;125.33
1;205.33;126.67
1;205.33;130.00
1;205.33;134.00
1;205.33;139.33
1;205.33;146.00
1;205.33;151.33
1;206.00;160.67
1;208.00;174.00
1;213.33;190.00
1;222.00;212.67
1;228.67;239.33
1;234.67;266.67
1;236.00;288.67
1;237.33;302.00
1;240.67;314.67
1;242.00;321.33
1;242.00;328.00
1;242.67;331.33
1;242.67;334.00
1;242.67;334.67
1;242.67;331.33
1;240.67;328.00
1;238.67;323.33
1;238.00;320.00
1;235.33;315.33
1;234.67;311.33
2;192.67;160.67
2;192.67;161.33
2;193.33;165.33
2;196.00;170.00
2;200.00;175.33
2;202.00;177.33
2;208.67;184.67
2;213.33;190.67
2;220.00;197.33
2;226.00;204.67
2;237.33;218.00
2;253.33;236.00
2;268.67;251.33
2;289.33;268.67
2;299.33;277.33
2;308.67;282.67
2;314.00;286.67
2;317.33;288.00
2;318.67;290.00
2;319.33;285.33
2;319.33;277.33
2;319.33;268.00
2;319.33;260.00
2;319.33;250.67
2;319.33;240.00
2;319.33;230.67
2;319.33;220.00
2;318.67;213.33
2;316.00;203.33
2;314.67;198.00
2;311.33;189.33
2;310.00;184.00
2;310.00;180.67
2;307.33;176.67
2;307.33;174.00
2;306.67;172.67
2;306.67;171.33
2;306.67;170.67
2;306.67;170.00
2;306.67;169.33
