StrokeNumber;X;Y
1;262.00;157.33
1;261.33;157.33
1;260.67;157.33
1;258.67;157.33
1;256.00;157.33
1;252.00;157.33
1;249.33;157.33
1;245.33;157.33
1;240.00;157.33
1;234.67;158.67
1;228.67;160.67
1;220.00;164.67
1;212.00;168.00
1;206.00;170.67
1;197.33;174.67
1;191.33;179.33
1;185.33;184.00
1;180.67;188.00
1;176.67;191.33
1;174.00;195.33
1;171.33;200.67
1;171.33;203.33
1;170.67;207.33
1;170.67;211.33
1;170.67;214.00
1;170.67;217.33
1;173.33;222.00
1;176.00;226.67
1;178.67;229.33
1;181.33;232.67
1;183.33;234.00
1;184.67;236.00
1;187.33;238.67
1;189.33;240.00
1;193.33;242.67
1;196.00;243.33
1;198.00;244.67
1;200.00;244.67
1;205.33;244.67
1;209.33;244.67
1;214.67;244.67
1;224.00;244.67
1;234.00;240.00
1;241.33;236.00
1;251.33;230.67
1;262.00;226.00
1;266.67;224.00
1;272.67;220.00
1;277.33;216.67
1;279.33;210.67
1;281.33;207.33
1;281.33;202.00
1;281.33;196.67
1;281.33;192.67
1;281.33;188.00
1;280.67;184.00
1;279.33;179.33
1;276.00;173.33
1;275.33;171.33
1;274.00;168.00
1;272.00;166.00
1;270.67;162.67
1;269.33;162.00
1;267.33;160.67
1;266.00;160.00
1;262.67;159.33
1;261.33;159.33
1;260.00;159.33
1;257.33;159.33
1;252.67;160.00
1;249.33;162.00
1;245.33;162.67
1;240.67;164.67
1;239.33;164.67
1;236.67;165.33
1;236.00;165.33
