StrokeNumber;X;Y
1;224.67;142.67
1;224.67;144.00
1;224.67;148.00
1;225.33;152.00
1;225.33;160.67
1;225.33;167.33
1;225.33;175.33
1;225.33;183.33
1;227.33;192.67
1;229.33;202.00
1;230.67;212.67
1;230.67;222.00
1;230.67;232.67
1;231.33;240.00
1;231.33;245.33
1;231.33;249.33
1;231.33;252.67
1;231.33;254.67
1;231.33;255.33
1;230.67;255.33
1;230.00;254.67
1;230.00;250.67
1;228.67;248.67
1;226.67;246.67
1;226.00;244.00
2;207.33;170.67
2;210.00;168.67
2;214.00;166.67
2;218.00;164.00
2;224.67;160.67
2;230.67;158.00
2;236.67;156.00
2;244.67;152.67
2;254.67;148.67
2;262.67;146.67
2;272.67;143.33
2;279.33;142.00
2;282.67;141.33
2;286.67;141.33
2;292.00;141.33
2;295.33;141.33
2;299.33;141.33
2;302.00;141.33
2;304.00;141.33
2;305.33;141.33
2;306.00;142.67
2;306.67;143.33
2;307.33;145.33
2;308.67;146.67
2;310.00;150.00
2;310.00;152.67
2;310.00;156.00
2;310.00;158.00
2;310.00;160.67
2;310.00;163.33
2;308.00;166.67
2;303.33;170.00
2;293.33;173.33
2;284.00;176.67
2;272.67;180.00
2;259.33;184.67
2;249.33;186.67
2;238.67;190.00
2;230.00;192.00
2;223.33;194.00
2;220.00;194.67
2;218.00;195.33
