StrokeNumber;X;Y
1;270.67;129.33
1;270.00;129.33
1;268.67;128.67
1;267.33;128.00
1;266.00;128.00
1;264.00;128.00
1;262.67;128.00
1;260.00;128.00
1;256.67;128.00
1;252.67;128.00
1;248.67;128.00
1;243.33;128.00
1;239.33;128.00
1;232.00;128.67
1;225.33;129.33
1;218.00;134.00
1;212.67;134.67
1;204.00;138.00
1;196.67;140.67
1;190.00;145.33
1;184.00;148.00
1;178.00;152.00
1;174.00;154.67
1;172.00;156.67
1;170.00;161.33
1;169.33;162.67
1;169.33;166.67
1;168.67;171.33
1;168.67;174.00
1;168.67;177.33
1;171.33;182.67
1;173.33;188.00
1;177.33;193.33
1;182.67;202.00
1;187.33;206.67
1;195.33;214.00
1;199.33;218.67
1;205.33;224.00
1;208.67;226.67
1;210.67;228.00
1;215.33;230.00
1;217.33;231.33
1;218.00;231.33
1;220.00;231.33
1;222.00;232.00
1;223.33;232.00
1;228.67;232.00
1;234.00;230.00
1;242.67;228.67
1;250.67;225.33
1;262.00;222.00
1;270.00;219.33
1;278.00;219.33
1;285.33;215.33
1;292.67;212.00
1;297.33;208.00
1;302.00;204.00
1;303.33;198.67
1;306.00;194.00
1;306.67;187.33
1;306.67;182.00
1;306.67;177.33
1;306.67;172.00
1;306.67;168.00
1;304.67;163.33
1;304.00;158.67
1;301.33;155.33
1;298.67;150.67
1;296.67;148.67
1;294.67;146.00
1;291.33;142.67
1;286.67;140.00
1;283.33;138.00
1;280.00;136.67
1;276.00;134.00
1;274.00;133.33
1;270.67;131.33
1;268.67;131.33
1;265.33;130.00
1;262.67;129.33
1;259.33;128.67
1;255.33;128.67
1;250.67;127.33
1;247.33;126.00
1;243.33;125.33
1;242.00;125.33
1;239.33;125.33
1;236.67;124.67
1;236.00;124.67
2;234.67;190.00
2;238.67;193.33
2;241.33;198.00
2;244.00;204.00
2;248.00;208.67
2;253.33;215.33
2;259.33;224.00
2;264.67;228.67
2;272.00;234.67
2;278.00;242.67
2;284.67;247.33
2;292.00;252.67
2;299.33;259.33
2;302.67;262.67
2;306.67;266.67
2;308.67;268.67
2;310.00;270.00
2;310.67;270.67
