StrokeNumber;X;Y
1;214.67;134.67
1;214.00;135.33
1;214.00;136.67
1;214.00;138.67
1;214.00;139.33
1;214.00;142.00
1;214.67;145.33
1;217.33;150.00
1;218.67;154.00
1;220.67;160.00
1;223.33;166.00
1;225.33;172.67
1;227.33;178.67
1;228.00;185.33
1;230.67;194.00
1;232.67;202.00
1;234.67;209.33
1;235.33;213.33
1;237.33;218.00
1;238.00;222.67
1;238.67;224.67
1;238.67;226.67
1;238.67;228.00
1;238.67;229.33
1;238.67;230.00
1;238.67;230.67
1;236.67;228.67
1;235.33;225.33
1;232.67;222.67
2;186.00;152.67
2;186.00;151.33
2;186.67;150.00
2;188.00;148.67
2;190.00;146.67
2;194.00;145.33
2;196.67;144.67
2;200.67;142.67
2;204.67;142.00
2;209.33;141.33
2;214.00;140.00
2;218.00;138.67
2;223.33;138.67
2;228.00;138.67
2;233.33;138.67
2;238.67;138.67
2;242.67;138.67
2;248.67;140.00
2;251.33;140.00
2;256.00;142.00
2;257.33;142.67
2;258.67;144.67
2;259.33;144.67
2;259.33;145.33
2;259.33;146.00
2;259.33;148.00
2;259.33;149.33
2;259.33;151.33
2;259.33;153.33
2;259.33;156.67
2;255.33;160.00
2;250.67;163.33
2;244.67;167.33
2;240.00;170.00
2;238.00;171.33
2;234.67;172.00
2;233.33;172.67
2;232.67;173.33
2;236.00;173.33
2;241.33;173.33
2;250.00;176.67
2;260.67;180.00
2;277.33;186.00
2;292.67;194.00
2;309.33;200.00
2;324.67;208.00
2;334.67;213.33
2;342.00;218.67
2;346.00;222.00
2;349.33;226.00
2;350.00;228.00
2;350.67;228.67
