StrokeNumber;X;Y
1;284.00;137.33
1;282.67;137.33
1;282.00;137.33
1;280.67;137.33
1;278.00;137.33
1;274.67;137.33
1;269.33;137.33
1;264.00;137.33
1;260.00;138.00
1;255.33;138.67
1;250.67;140.67
1;245.33;141.33
1;242.00;144.00
1;237.33;144.67
1;235.33;147.33
1;232.00;148.67
1;230.67;149.33
1;229.33;150.67
1;228.67;152.00
1;227.33;154.00
1;226.00;156.00
1;226.00;157.33
1;225.33;158.67
1;225.33;160.67
1;225.33;162.67
1;225.33;164.00
1;225.33;165.33
1;227.33;168.67
1;228.67;170.00
1;233.33;172.00
1;236.67;173.33
1;241.33;176.00
1;245.33;177.33
1;253.33;178.00
1;262.00;182.67
1;271.33;184.67
1;281.33;188.00
1;289.33;190.00
1;298.00;192.67
1;306.00;195.33
1;312.00;198.00
1;318.00;202.00
1;321.33;203.33
1;325.33;207.33
1;326.67;208.67
1;328.00;210.00
1;329.33;211.33
1;330.00;212.67
1;330.67;215.33
1;330.67;216.67
1;331.33;218.67
1;331.33;220.00
1;333.33;223.33
1;333.33;224.00
1;333.33;228.00
1;333.33;229.33
1;333.33;232.00
1;333.33;234.00
1;330.67;236.00
1;329.33;236.67
1;325.33;238.00
1;323.33;238.00
1;318.00;240.67
1;312.67;240.67
1;308.00;240.67
1;302.67;240.67
1;296.00;240.67
1;290.67;240.67
1;284.00;240.67
1;277.33;240.67
1;270.67;240.00
1;268.00;239.33
1;266.00;238.67
1;262.67;238.00
1;261.33;237.33
1;259.33;236.00
