StrokeNumber;X;Y
1;243.33;159.33
1;243.33;160.67
1;243.33;163.33
1;243.33;167.33
1;243.33;171.33
1;243.33;176.00
1;243.33;180.00
1;243.33;186.67
1;244.00;194.67
1;246.67;204.67
1;247.33;215.33
1;248.67;224.67
1;249.33;232.67
1;252.00;242.00
1;252.00;246.67
1;252.67;249.33
1;252.67;252.67
1;252.67;254.00
1;253.33;255.33
1;253.33;256.00
2;204.67;193.33
2;204.67;192.00
2;204.67;190.00
2;205.33;189.33
2;209.33;187.33
2;212.67;186.67
2;219.33;184.67
2;225.33;182.67
2;233.33;180.67
2;243.33;177.33
2;254.00;175.33
2;264.67;172.00
2;274.67;169.33
2;284.00;165.33
2;288.67;164.67
2;293.33;162.67
2;295.33;162.00
2;296.67;161.33
