StrokeNumber;X;Y
1;227.33;164.00
1;226.67;164.00
1;225.33;166.00
1;224.67;169.33
1;222.67;172.67
1;222.67;179.33
1;222.00;183.33
1;222.00;191.33
1;222.00;196.67
1;222.00;206.00
1;222.00;212.67
1;222.00;221.33
1;222.00;226.67
1;223.33;232.00
1;224.00;238.00
1;228.67;245.33
1;229.33;248.00
1;232.67;252.67
1;235.33;256.67
1;239.33;260.00
1;242.67;264.00
1;246.00;266.00
1;248.67;268.67
1;252.00;271.33
1;253.33;272.00
1;258.00;273.33
1;258.67;273.33
1;261.33;273.33
1;262.67;273.33
1;263.33;273.33
1;264.00;273.33
1;265.33;273.33
1;268.00;270.00
1;269.33;267.33
1;272.67;261.33
1;273.33;258.00
1;274.00;252.67
1;275.33;248.00
1;277.33;240.00
1;277.33;234.67
1;278.00;228.67
1;278.00;220.67
1;278.00;215.33
1;278.00;211.33
1;278.00;206.00
1;278.00;201.33
1;276.67;196.00
1;276.67;194.00
1;275.33;189.33
1;274.67;188.00
1;274.00;186.67
1;273.33;185.33
1;273.33;184.00
1;272.67;183.33
1;272.67;182.67
1;272.00;182.67
1;270.67;181.33
1;270.67;180.67
1;270.00;180.00
