StrokeNumber;X;Y
1;199.33;154.67
1;199.33;157.33
1;199.33;161.33
1;199.33;165.33
1;199.33;170.67
1;200.67;176.67
1;202.67;186.00
1;206.67;194.67
1;211.33;206.00
1;214.67;212.67
1;215.33;218.67
1;217.33;224.00
1;220.00;230.00
1;220.00;234.00
1;222.00;237.33
1;222.67;240.67
1;224.67;245.33
1;224.67;246.67
1;224.67;248.00
1;225.33;249.33
1;226.00;247.33
1;226.00;246.00
1;226.00;242.67
1;226.00;238.67
1;226.00;233.33
1;226.00;225.33
1;226.00;216.00
1;226.00;209.33
1;226.00;200.00
1;226.00;190.67
1;226.00;182.67
1;226.00;176.00
1;226.00;169.33
1;226.67;163.33
1;228.67;155.33
1;230.00;150.67
1;230.67;144.00
1;231.33;140.00
1;231.33;136.67
1;231.33;134.67
1;231.33;134.00
