StrokeNumber;X;Y
1;288.00;128.67
1;286.00;128.67
1;283.33;128.67
1;280.00;128.67
1;276.00;130.67
1;271.33;133.33
1;266.00;138.67
1;261.33;143.33
1;256.00;150.67
1;252.67;158.00
1;248.67;165.33
1;244.67;173.33
1;238.67;186.00
1;234.67;196.00
1;230.00;205.33
1;227.33;212.67
1;222.00;220.00
1;220.00;224.67
1;217.33;229.33
1;216.00;230.67
1;214.00;234.00
1;212.67;232.67
1;212.00;230.00
1;211.33;230.00
1;211.33;228.67
1;210.67;227.33
1;209.33;226.00
2;199.33;145.33
2;198.67;148.67
2;198.67;152.67
2;198.00;157.33
2;198.00;162.67
2;198.00;170.67
2;198.00;176.00
2;198.00;182.67
2;198.00;189.33
2;198.00;196.00
2;201.33;202.00
2;203.33;209.33
2;204.67;214.00
2;206.67;218.00
2;209.33;222.00
2;211.33;225.33
2;212.00;227.33
2;213.33;228.67
2;213.33;230.00
2;214.00;230.67
2;214.00;231.33
2;214.00;232.00
2;214.00;232.67
3;266.00;145.33
3;265.33;145.33
3;265.33;146.67
3;266.00;147.33
3;267.33;150.67
3;268.67;153.33
3;271.33;156.67
3;274.00;162.67
3;280.67;171.33
3;286.00;180.67
3;291.33;189.33
3;296.00;196.67
3;300.00;202.67
3;304.00;210.00
3;304.67;215.33
3;306.67;218.67
3;309.33;223.33
3;310.00;226.00
3;310.67;228.00
3;312.00;230.00
3;312.00;231.33
3;312.67;232.00
3;312.67;231.33
3;312.67;229.33
3;312.67;227.33
3;312.67;223.33
3;312.67;218.00
3;314.00;210.00
3;314.67;200.00
3;319.33;192.00
3;320.00;183.33
3;323.33;175.33
3;325.33;168.00
3;328.67;160.00
3;329.33;154.00
3;332.00;148.00
3;333.33;144.00
3;333.33;142.00
3;334.67;139.33
3;334.67;138.00
3;334.67;137.33
3;335.33;136.67
