StrokeNumber;X;Y
1;276.67;102.67
1;276.67;103.33
1;276.00;107.33
1;274.67;114.67
1;272.67;118.67
1;267.33;128.67
1;262.00;138.67
1;258.00;146.00
1;252.00;157.33
1;245.33;168.00
1;236.67;183.33
1;229.33;194.00
1;222.00;205.33
1;214.67;215.33
1;209.33;224.00
1;204.00;230.00
1;202.67;232.67
1;202.00;234.00
1;200.67;235.33
1;200.00;236.00
1;198.67;234.67
2;125.33;71.33
2;126.00;71.33
2;129.33;72.67
2;133.33;76.00
2;139.33;82.00
2;146.67;90.00
2;152.00;94.67
2;156.67;100.67
2;165.33;108.67
2;172.00;118.67
2;180.00;127.33
2;188.67;136.00
2;196.67;144.67
2;204.00;154.67
2;211.33;162.00
2;219.33;171.33
2;226.67;178.67
2;233.33;186.00
2;240.67;194.67
2;247.33;200.67
2;252.00;206.00
2;256.67;210.00
2;260.67;213.33
2;264.00;216.67
2;264.67;217.33
2;265.33;218.00
2;266.67;218.67
2;266.67;219.33
2;268.00;220.67
2;268.67;221.33
2;269.33;222.67
2;272.00;224.67
2;272.67;226.00
2;274.00;228.00
2;274.67;229.33
2;276.00;231.33
2;276.67;231.33
2;276.67;232.00
