StrokeNumber;X;Y
1;208.00;104.00
1;208.00;108.67
1;208.00;115.33
1;212.00;124.00
1;216.67;131.33
1;220.67;138.67
1;222.00;142.00
1;224.00;144.00
1;226.00;146.67
1;226.67;146.67
1;227.33;146.67
1;228.67;147.33
1;229.33;147.33
1;230.00;147.33
1;230.67;147.33
1;232.00;147.33
1;233.33;145.33
1;236.00;144.00
1;238.00;141.33
1;242.67;138.67
1;243.33;136.00
1;245.33;133.33
1;247.33;130.00
1;248.00;128.67
1;248.67;126.00
1;248.67;121.33
1;248.67;117.33
1;248.67;113.33
1;248.67;110.67
1;248.67;107.33
1;248.67;106.00
1;248.67;105.33
1;248.67;103.33
1;248.00;102.67
1;247.33;102.00
2;230.00;148.00
2;230.00;148.67
2;230.00;151.33
2;230.00;153.33
2;230.00;157.33
2;230.00;161.33
2;230.00;168.00
2;232.00;174.00
2;233.33;180.00
2;235.33;185.33
2;237.33;194.00
2;239.33;203.33
2;242.67;212.00
2;244.67;218.67
2;245.33;224.00
2;247.33;230.00
2;249.33;234.67
2;250.00;238.00
2;250.00;238.67
2;250.67;241.33
2;251.33;242.00
