StrokeNumber;X;Y
1;186.00;128.67
1;186.67;128.67
1;188.00;128.67
1;190.00;128.00
1;192.67;127.33
1;198.67;127.33
1;205.33;125.33
1;212.67;124.00
1;222.00;123.33
1;232.67;122.00
1;242.00;122.00
1;251.33;122.00
1;260.67;122.00
1;268.67;122.00
1;274.00;122.00
1;279.33;122.00
1;282.67;122.00
1;284.67;122.00
1;285.33;122.00
1;286.00;122.00
1;286.00;124.00
1;286.00;128.67
1;286.00;135.33
1;284.67;142.67
1;280.00;152.67
1;274.67;163.33
1;269.33;173.33
1;261.33;182.00
1;254.67;190.67
1;248.67;196.67
1;242.67;203.33
1;237.33;207.33
1;236.00;208.67
1;234.00;208.67
1;233.33;209.33
1;232.67;209.33
1;233.33;209.33
1;234.00;209.33
1;234.67;209.33
1;236.67;209.33
1;240.00;208.67
1;242.67;208.00
1;250.00;206.00
1;260.67;204.67
1;271.33;204.00
1;284.67;202.67
1;300.00;199.33
1;313.33;199.33
1;325.33;198.00
1;333.33;198.00
1;338.67;198.00
1;340.67;198.00
1;341.33;198.00
1;340.00;198.00
1;339.33;198.00
